City ,City ID,Dark Store Code,Dark Store Type (Branch / Independent),Dark Store Name,Location,Lat,Long
KOLKATA,1733,DSBK05,BRANCH,DS RAJARHAT,"DTDC Express Limited, 263/1, Athgara Check Post, Rajarhat Road, Kolkata - 700136",22.62824545,88.44588786
KOLKATA,1733,DSBK06,BRANCH,DS AGARPARA,"SM BOSE ROAD, GODOWN NO. 8, GATE NO. 2, D BLOCK, AGARPARA-700109",22.687889,88.380944
KOLKATA,1733,DSBK07,BRANCH,DS TARATALA,"A56/NEW BUDGE BUDGE TRUNK ROAD, GOPALPUR, SARKARPOOL, KOLKATA - 700143",22.51392239,88.28749967
BANGALORE,728,DSBB10,BRANCH,DS YELAHANKA,"85/3, OPP KOGILU LAKE, KATTIGENA HALLI ROAD, KOGILU VILLAGE, YELAHANKA, BANGALORE",13.1066,77.6187
KOLKATA,1733,DSBK88,BRANCH,DS CAMAC STREET,"DTDC Express Limited 6, Royd Street, Kolkata - 700016",22.552155,88.355167
SANGLI,1032,DSIB0024,INDEPENDENT,DS SANGLI STANDALONE,"CS NO. 119/1, MAHAVEER NAGAR, VAKHARBHAG, ANGLI-416416, TALUKA-MIRAJ, DISTRICT-SANGLI",16.861837,74.569547
VASAI,994,DSBM46,BRANCH,DS VASAI,"Shop no 1/2/3, Building no.2 A-1 Complex, Chinchoti Bhiwandi Road, Opp. Z.P School, Kaman, Vasai Virar, Palghar, Maharashtra, 401208",19.406051,72.857754
CUTTACK,1104,DSIB0008,INDEPENDENT,DS BUBANESHWAR,"PLOT NO.750, AT-PRATAPNAGARI, PO-BHANPUR, CUTTACK, ORISSA-753011",20.4073942,85.8788801
NAGPUR,959,DSBR32,BRANCH,DS NAGPUR GHAT ROAD,"H.N0. 694/7 Chandak layout, Ghat Road, Ganesh Peth Nagpur 440012",21.142512,79.090522
DELHI,458,DSBS04,BRANCH,DS OKHLA,"B19, ESTERN SIDE, OKHLA INDUSTRIAL AREA, OKHLA PHASE I, NEW DELHI-110020",28.5333896,77.2815942
AGRA,1469,DSIB0001,INDEPENDENT,DS AGRA,"Shop no. LG-12B,Ground floor , Nirmal Heights, Sec-12, Commercial Plot #1, Awas Vikas Colony, Kailash Puri Road, Agra-282007, Uttar Pradesh.",27.20369,77.979792
MEERUT,1472,DSBU13,BRANCH,DS MEERUT,"KHASRA NO. 494, BHAGATJI COLD STORAGE COMPOUND, NEAR SUBHASH HOTELMOHKAMPUR INDUSTRIAL AREA, PHASE 2, MOHKAMPUR INDUSTRIAL AREA, PHASE 2, DELHI ROAD, MEERUT, UTTAR PRADESH-250002",28.94828525,77.67162749
